Iteration	Posterior	Likelihood	Prior	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	branch_rates_sd	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	freq[1]	freq[2]	freq[3]	freq[4]	ln_branch_rates_mean	root_age	speciation_rate
0	-43183.99	-43139.89	-44.10113	0.128638	0.153455	0.193249	0.145535	0.156176	0.286945	0.143813	0.247589	0.142545	0.167902	0.270281	0.207157	0.168084	0.0850601	0.166629	0.208569	0.132341	0.303096	0.163002	0.163547	0.207938	0.147076	0.133551	0.31249	0.262342	0.138078	0.224018	0.0834988	0.127858	0.273872	0.225577	0.365263	0.0538601	0.209764	0.151447	0.270147	0.300968	0.136476	0.1659537	0.4951301	0.0183653	0.0116731	0.0419926	0.856821	0.0364452	0.0347029	0.009632511	0.122131	0.0039692	0.527319	0.34658	-1.796046	29.4638	0.03351427
50	-20349.56	-20329.22	-20.33106	0.0549421	0.0781242	0.0570275	0.109529	0.0741391	0.0558161	0.0811462	0.092122	0.0901492	0.149095	0.131099	0.140273	0.071012	0.0823315	0.102215	0.0856266	0.0629496	0.187672	0.187232	0.0821908	0.0767152	0.0778557	0.0832677	0.481151	0.175902	0.115716	0.0830692	0.0708885	0.0935878	0.0737292	0.119004	0.157787	0.0151901	0.0557842	0.0611808	0.0471273	0.0498722	0.0169171	0.0830718	0.589564	0.158166	0.14867	0.131535	0.168041	0.247743	0.145844	0.1721215	0.239121	0.214757	0.281412	0.26471	-2.48805	20.53954	0.2325107
100	-20313.56	-20283.47	-30.09416	0.0615714	0.0438065	0.0457839	0.0652931	0.07273	0.057431	0.0795246	0.098182	0.0807644	0.146513	0.133861	0.196403	0.107866	0.0833345	0.089965	0.0731048	0.0558567	0.244741	0.16472	0.0795506	0.0855369	0.07641	0.165615	0.469159	0.253143	0.263127	0.0648174	0.067497	0.161216	0.0918676	0.101624	0.204913	0.0152492	0.0978467	0.0375997	0.0589302	0.02574	0.0114415	0.09850984	0.6842143	0.151073	0.13362	0.161943	0.147959	0.207757	0.197648	0.1369685	0.276875	0.23856	0.253835	0.230731	-2.317599	21.28489	0.24249
150	-20305.45	-20282.81	-22.64014	0.047817	0.0261681	0.037746	0.0720264	0.0533649	0.0527483	0.0778759	0.070913	0.0906277	0.128998	0.146912	0.194808	0.118003	0.0795955	0.0873057	0.0854368	0.0813906	0.230804	0.135991	0.0776029	0.0572539	0.103074	0.145301	0.287261	0.122792	0.255345	0.0776	0.0856662	0.103841	0.0954888	0.132692	0.155557	0.0168712	0.106863	0.0535872	0.0785238	0.0487	0.00780756	0.0884048	0.5791079	0.142889	0.154296	0.170271	0.159961	0.191542	0.181041	0.04787083	0.255319	0.245072	0.25807	0.241538	-2.425829	24.64544	0.12886
200	-20308.57	-20279.07	-29.49448	0.0441275	0.0295048	0.0288757	0.0721213	0.0606108	0.0647851	0.113067	0.151813	0.097817	0.103237	0.112307	0.163034	0.155966	0.0796761	0.0938631	0.0843132	0.0633484	0.256412	0.147719	0.0891803	0.0881975	0.129718	0.156956	0.203475	0.409135	0.147132	0.0695306	0.130663	0.0397762	0.0787951	0.0786684	0.187306	0.0238553	0.138563	0.0278913	0.103256	0.0635767	0.015524	0.06795196	0.9027298	0.143958	0.163949	0.161169	0.161157	0.187371	0.182395	0.008629443	0.258437	0.24839	0.249194	0.243978	-2.688954	18.7354	0.2030318
250	-20311.86	-20286.14	-25.72598	0.0518191	0.0232854	0.0306046	0.0661439	0.0539085	0.0492812	0.119839	0.116643	0.100667	0.0623433	0.073132	0.21805	0.0927194	0.0746245	0.0888258	0.0835857	0.0934277	0.227014	0.16174	0.0834158	0.0885638	0.105705	0.163773	0.137942	0.292825	0.328545	0.054268	0.13223	0.0533023	0.0437472	0.11428	0.250615	0.0138184	0.069772	0.0541191	0.0738331	0.0724264	0.0196819	0.08058149	0.7791677	0.165909	0.158021	0.164343	0.15533	0.180597	0.1758	0.0006622544	0.262861	0.237951	0.250677	0.248511	-2.518486	19.40155	0.2285571
300	-20300.21	-20275.75	-24.45249	0.0470825	0.0359627	0.0241098	0.0849087	0.0726978	0.05401	0.119992	0.120601	0.0879073	0.0724665	0.0984838	0.194308	0.136785	0.0906422	0.0913116	0.0764454	0.0782509	0.229961	0.137299	0.0789059	0.0646312	0.126416	0.111535	0.186163	0.204096	0.197723	0.0610045	0.164283	0.0570796	0.0673064	0.0713363	0.370769	0.0149667	0.0459855	0.0697323	0.0923301	0.0530204	0.00535683	0.07742789	0.761985	0.164572	0.150526	0.164961	0.167618	0.175175	0.177149	0.006244025	0.259887	0.238303	0.248829	0.252981	-2.558408	20.76068	0.1501483
350	-20310.32	-20282.84	-27.48104	0.0495691	0.0181687	0.0225871	0.0767028	0.0570711	0.0628292	0.0893937	0.102028	0.0715744	0.0724149	0.0861573	0.0815197	0.137653	0.0816289	0.0872514	0.110732	0.0968171	0.21731	0.171033	0.123442	0.119369	0.107628	0.122488	0.118242	0.233403	0.130403	0.0708	0.0726277	0.0628703	0.0607538	0.118822	0.328931	0.0137888	0.0919189	0.0403958	0.19353	0.0956263	0.00434761	0.07182918	0.8141803	0.162041	0.17315	0.162425	0.153202	0.172413	0.176769	0.005856218	0.247394	0.247695	0.247682	0.257229	-2.633464	27.08022	0.2331646
400	-20311.16	-20286.67	-24.49748	0.0554714	0.0245973	0.0183589	0.0952211	0.0596481	0.0697822	0.0819143	0.112939	0.0812211	0.0850209	0.0893526	0.13886	0.0683335	0.0862916	0.0943996	0.124476	0.170299	0.20142	0.205544	0.115951	0.233018	0.118437	0.0803286	0.0977504	0.142229	0.0495901	0.068284	0.0739866	0.117126	0.0434897	0.132674	0.22532	0.0193763	0.104662	0.013619	0.16757	0.152241	0.00820999	0.07912181	0.8196956	0.176849	0.170303	0.159754	0.146412	0.187985	0.158697	0.02864107	0.246618	0.245571	0.251044	0.256766	-2.536767	21.70027	0.1456436
450	-20304.47	-20278.89	-25.58448	0.0478518	0.0247127	0.0236628	0.083683	0.080008	0.0709225	0.111937	0.162177	0.0768114	0.0897761	0.0911581	0.135292	0.112299	0.0817739	0.107457	0.114264	0.169796	0.245867	0.204415	0.186662	0.239979	0.137776	0.0587719	0.0661629	0.0583859	0.0607187	0.0698117	0.062813	0.0261271	0.0429101	0.181426	0.159099	0.0145239	0.14669	0.0317085	0.0994742	0.222957	0.00662777	0.09317614	0.838049	0.170061	0.163767	0.159247	0.164416	0.180771	0.161738	0.07014323	0.248852	0.249296	0.259277	0.242575	-2.373264	26.15807	0.1708073
