Iteration	Posterior	Likelihood	Prior	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	branch_rates_sd	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	freq[1]	freq[2]	freq[3]	freq[4]	ln_branch_rates_mean	root_age	speciation_rate
500	-20265.23	-20317.45	52.22639	0.0230007	0.0344807	0.0348295	0.0444635	0.0339912	0.0296627	0.0506932	0.033017	0.0399186	0.0459128	0.0384973	0.022565	0.0343501	0.028045	0.0316542	0.0322358	0.0246286	0.0317749	0.0319221	0.0269447	0.0356373	0.0410407	0.0293314	0.032105	0.0264843	0.034795	0.0353626	0.0454851	0.024218	0.0280914	0.0308834	0.0365455	0.0312866	0.035512	0.0293121	0.0307571	0.0330865	0.0273282	0.03469686	0.1648749	0.162973	0.170794	0.15436	0.19297	0.148266	0.170638	0.02103621	0.262602	0.24367	0.241693	0.252035	-3.361106	24.09518	0.08921825
550	-20261.98	-20313.03	51.05505	0.0319192	0.0327838	0.03507	0.0442584	0.0401646	0.0344865	0.0344245	0.0336443	0.035506	0.0439006	0.0417926	0.0283397	0.0353482	0.0265724	0.0370205	0.0285085	0.0277734	0.029312	0.0418477	0.0324548	0.0319216	0.0421675	0.0264574	0.0349318	0.0241157	0.040392	0.0235641	0.0502112	0.0398693	0.0222687	0.0452808	0.0394932	0.0268383	0.0339479	0.0320234	0.0346362	0.0376483	0.0341975	0.03407377	0.2048824	0.165276	0.173207	0.151902	0.195697	0.150361	0.163557	0.03274448	0.264787	0.240703	0.233586	0.260923	-3.379227	22.3998	0.09228258
600	-20254.95	-20318.84	63.89098	0.0345182	0.033957	0.0385947	0.0398844	0.0396466	0.0332411	0.0349728	0.0283379	0.0309931	0.0445672	0.0429793	0.0343974	0.0467087	0.0269951	0.0310945	0.0329688	0.0319971	0.0329644	0.0374935	0.0304926	0.0448738	0.0349384	0.0358135	0.030981	0.0398919	0.0272605	0.0268419	0.0343809	0.0403593	0.0337588	0.0361804	0.034762	0.0331032	0.0338622	0.0434105	0.0343143	0.0292111	0.0289848	0.03420236	0.1452164	0.176832	0.169568	0.14871	0.191585	0.153013	0.160292	0.005346284	0.26586	0.241678	0.230482	0.26198	-3.375461	23.66985	0.08072832
650	-20261.05	-20307.66	46.60278	0.0311003	0.0331228	0.0365529	0.0405055	0.0351783	0.0319455	0.0393522	0.0273515	0.0298758	0.0335869	0.0338025	0.0343604	0.0376188	0.0238492	0.0289953	0.0259777	0.0250355	0.0306278	0.0293378	0.0284457	0.0349752	0.039103	0.0255291	0.0488036	0.0261104	0.0306022	0.0276088	0.0362042	0.0456416	0.025829	0.042839	0.0347193	0.0308723	0.0379761	0.0329149	0.0322514	0.0644181	0.0410038	0.03073759	0.2450941	0.160081	0.167437	0.14684	0.203668	0.15109	0.170884	0.002804304	0.26445	0.234265	0.233588	0.267697	-3.482269	21.37647	0.08788902
700	-20275.1	-20321.42	46.31865	0.0236654	0.0320383	0.0292537	0.0445699	0.043908	0.0352432	0.0405022	0.0334633	0.0330514	0.0327178	0.028996	0.0376078	0.0365552	0.0226071	0.0265431	0.0265289	0.027995	0.0312353	0.037552	0.0276644	0.0541968	0.0283847	0.029977	0.0320385	0.0505308	0.025728	0.0282247	0.0334163	0.0247466	0.0337385	0.0305752	0.0358435	0.0293585	0.0289136	0.0466071	0.0329	0.05629	0.0261927	0.03201375	0.2177628	0.168748	0.164684	0.144427	0.194778	0.159288	0.168075	0.05624969	0.270502	0.233825	0.230185	0.265488	-3.44159	25.45141	0.1034822
750	-20282.79	-20316.19	33.3948	0.0242089	0.0220287	0.0250101	0.0496153	0.0372696	0.0343825	0.0440023	0.0250666	0.0353641	0.0396459	0.0317153	0.0364244	0.0520983	0.0209375	0.0275364	0.0282946	0.0303814	0.0298755	0.0429387	0.0306724	0.0892859	0.0242163	0.0491159	0.0309829	0.0231253	0.0282045	0.0248376	0.0367108	0.0454449	0.0357432	0.0393882	0.0360897	0.0342842	0.0343436	0.0409337	0.0473712	0.0508385	0.0377489	0.03277072	0.3103685	0.172462	0.177782	0.135493	0.189235	0.159886	0.165141	0.02941099	0.26867	0.235168	0.230412	0.26575	-3.41822	22.69342	0.0867149
800	-20275.27	-20318.91	43.63968	0.0285744	0.0351807	0.031991	0.0485389	0.0445	0.0322737	0.0342866	0.0280877	0.0365219	0.0334727	0.0371413	0.0317223	0.032989	0.0219571	0.0251896	0.0279202	0.0283234	0.0341752	0.03904	0.0339326	0.0418031	0.0299468	0.0351034	0.0231006	0.0312939	0.0307799	0.0221936	0.0581834	0.0286369	0.033955	0.0554403	0.0377774	0.0367764	0.0511042	0.036357	0.037195	0.043347	0.0261659	0.03257568	0.193197	0.159661	0.180421	0.158895	0.192044	0.133903	0.175076	0.01722876	0.267714	0.235596	0.230831	0.265859	-3.424189	23.34719	0.07112533
850	-20265.74	-20322.34	56.59616	0.0283538	0.0352813	0.0381047	0.0318923	0.0325331	0.0330786	0.0357288	0.0237725	0.0337234	0.0327915	0.0308081	0.0374078	0.0316862	0.0246425	0.0246076	0.0339015	0.0337542	0.0284778	0.0397777	0.0318591	0.0380367	0.037562	0.0389293	0.0200814	0.0397327	0.0356536	0.0258514	0.0347897	0.035993	0.0260709	0.0357706	0.0298033	0.0273431	0.0408396	0.0311904	0.0324847	0.0385465	0.0218175	0.03089431	0.1583055	0.161476	0.182742	0.160701	0.191298	0.141177	0.162606	0.01638404	0.250309	0.240482	0.245231	0.263978	-3.477183	27.04244	0.05848146
900	-20267.97	-20317.77	49.80238	0.0270751	0.0256588	0.0369066	0.0493664	0.0361754	0.0285257	0.0223191	0.0211947	0.0278262	0.0320319	0.0337322	0.0260753	0.0318396	0.0226108	0.0243952	0.0240038	0.0189739	0.026529	0.042402	0.0259061	0.0268247	0.0365371	0.0213955	0.0385938	0.0238776	0.0291887	0.0275945	0.0334588	0.0371625	0.0323581	0.0331772	0.0340328	0.0315803	0.0284978	0.0342932	0.0262751	0.0306969	0.0358994	0.02991584	0.1510909	0.154889	0.180551	0.133458	0.218804	0.150006	0.162292	0.01000418	0.280386	0.229626	0.223833	0.266155	-3.509367	24.29634	0.08284547
950	-20256.68	-20309.73	53.05242	0.0240649	0.029497	0.0394823	0.0375329	0.0401824	0.0277523	0.0235076	0.019784	0.0302747	0.0305279	0.0358764	0.0274023	0.0271527	0.0200119	0.023871	0.0242799	0.0237017	0.0413947	0.0373998	0.0262412	0.0301138	0.0242242	0.0352698	0.0225242	0.0230218	0.0203307	0.0269031	0.0322599	0.0427406	0.033977	0.0343479	0.0306683	0.0328668	0.0301789	0.0326675	0.0273315	0.0383646	0.0234575	0.028696	0.1892424	0.157824	0.176535	0.152481	0.206048	0.145638	0.161474	0.007370966	0.269608	0.234135	0.226788	0.269468	-3.550998	27.94412	0.07714205
1000	-20258.36	-20309.36	51.00316	0.0184535	0.0250277	0.0364842	0.041927	0.0278918	0.0237656	0.0248569	0.0221852	0.0305041	0.0338249	0.0316579	0.0319435	0.0311947	0.0203064	0.0268309	0.024437	0.0204884	0.0284126	0.03513	0.0279452	0.0300813	0.0393873	0.0261447	0.0237574	0.0275222	0.0265922	0.0259644	0.0403682	0.0245985	0.0288916	0.0350482	0.0449067	0.0272962	0.0324465	0.0300167	0.0216314	0.0266764	0.0224528	0.02999717	0.2390106	0.171048	0.174721	0.146216	0.203931	0.144269	0.159815	0.04846896	0.265943	0.234273	0.228675	0.271109	-3.506652	28.00835	0.08677055
1050	-20254.52	-20309.77	55.2537	0.0216654	0.0224262	0.0247847	0.0316315	0.0275166	0.0274194	0.0235952	0.0230732	0.0278072	0.0359224	0.035826	0.0241225	0.0274262	0.017783	0.0207537	0.0244763	0.0242857	0.0319941	0.0316588	0.0248558	0.034773	0.0303297	0.0280874	0.0226567	0.0271553	0.0192524	0.027196	0.0367832	0.0318574	0.0278936	0.0299615	0.0209167	0.0218646	0.0354841	0.0309748	0.0295794	0.0225666	0.0273556	0.02485166	0.231215	0.172282	0.178981	0.14667	0.188014	0.153086	0.160967	0.03538598	0.261328	0.234516	0.24464	0.259515	-3.694831	29.90365	0.08740518
1100	-20273.47	-20315.72	42.25147	0.0231259	0.0250175	0.0302917	0.0411221	0.02462	0.0255591	0.029014	0.0165013	0.0204758	0.02951	0.0295348	0.0207172	0.0211506	0.021333	0.0254946	0.0226551	0.0198913	0.0235482	0.0251718	0.0247643	0.0520884	0.0248775	0.0184041	0.0190784	0.0199693	0.0318631	0.0217332	0.0344713	0.0333019	0.0258632	0.0389696	0.0293469	0.0351341	0.0234419	0.033626	0.029785	0.0320423	0.0264814	0.02473353	0.1814898	0.167273	0.180167	0.145736	0.192528	0.152261	0.162035	0.03010585	0.261662	0.241242	0.241215	0.255882	-3.699595	29.08546	0.04998263
1150	-20257.8	-20319.97	62.17402	0.0212298	0.0268402	0.0282245	0.029794	0.0274799	0.0263078	0.0208973	0.0217728	0.0287018	0.0299665	0.0291782	0.0197541	0.0232839	0.0206222	0.024384	0.0227097	0.0216895	0.0226709	0.0269368	0.0239319	0.0267534	0.0230068	0.0206799	0.0226851	0.0262281	0.0349519	0.0243765	0.0337117	0.0327684	0.0251983	0.0302765	0.032792	0.0240035	0.0320007	0.0291795	0.0338455	0.0328328	0.0259628	0.02463727	0.1992465	0.175672	0.171425	0.144443	0.196113	0.142562	0.169785	0.01529519	0.266646	0.227147	0.247967	0.258239	-3.703495	29.80749	0.07998453
1200	-20249.51	-20317.98	68.46926	0.0183238	0.020796	0.025251	0.0332382	0.0255356	0.027428	0.0212989	0.0243293	0.0264613	0.029743	0.029584	0.0250626	0.025214	0.0196516	0.0229823	0.0262164	0.0204135	0.0272504	0.0239873	0.0260457	0.0289452	0.0324618	0.0305712	0.0190739	0.025283	0.0206114	0.0213669	0.0318786	0.0257525	0.029261	0.0321075	0.0242634	0.0243572	0.0306747	0.025945	0.0263188	0.022145	0.029439	0.0258257	0.1494313	0.181429	0.177043	0.140617	0.20254	0.147234	0.151138	0.003091068	0.259856	0.232841	0.237977	0.269325	-3.656385	30.58017	0.04729685
1250	-20260.6	-20323.06	62.46767	0.0216003	0.0285633	0.0260701	0.0302502	0.0277431	0.022341	0.0218125	0.0216417	0.0277463	0.0225087	0.0301861	0.0288705	0.0293576	0.0190197	0.0224279	0.0232342	0.019459	0.024572	0.0279858	0.0217968	0.022739	0.0333953	0.0265657	0.0306994	0.0265862	0.0267668	0.0170747	0.0372301	0.0256818	0.0241654	0.0248038	0.0260685	0.0262516	0.0233853	0.0328084	0.0207424	0.027034	0.0203321	0.02392248	0.2014085	0.165103	0.180686	0.167136	0.168065	0.146506	0.172505	0.0003202436	0.261489	0.24838	0.231519	0.258612	-3.732937	31.43975	0.08221173
1300	-20257.74	-20314.23	56.49516	0.0210311	0.0240292	0.0327764	0.0289767	0.0251687	0.0237674	0.0351947	0.0264352	0.0296017	0.0357896	0.0369373	0.0276667	0.0291655	0.0185055	0.0181046	0.0186071	0.0192477	0.0366761	0.0271622	0.0217005	0.0217744	0.0259892	0.0397019	0.026135	0.0242973	0.0348077	0.0218651	0.0304729	0.0222535	0.0257963	0.0273964	0.0251386	0.0235348	0.0288196	0.0225453	0.019947	0.0218364	0.0340448	0.0258163	0.2325636	0.159019	0.168053	0.155828	0.198668	0.14806	0.170371	0.0001097256	0.263603	0.236029	0.239666	0.260702	-3.656749	28.45081	0.05648046
1350	-20260.08	-20309.18	49.10166	0.0252946	0.0201578	0.0237429	0.0286998	0.0263641	0.0270921	0.0329332	0.0284588	0.0310116	0.0377856	0.036991	0.0302677	0.0242093	0.0179532	0.0227807	0.023139	0.0223924	0.0228988	0.0246843	0.0221284	0.0385591	0.0359574	0.0333495	0.0242531	0.0318755	0.0272863	0.0214455	0.0297079	0.0214757	0.0194944	0.0308549	0.0236102	0.0334287	0.0569035	0.0374795	0.038481	0.0249598	0.0213826	0.02578832	0.2589292	0.170891	0.169467	0.144774	0.200341	0.142721	0.171806	0.0007788766	0.267018	0.239087	0.229815	0.26408	-3.657834	28.9643	0.0535529
1400	-20248.82	-20319.21	70.39078	0.0210279	0.0298931	0.0287995	0.0307962	0.028387	0.0264541	0.0291516	0.0237607	0.0274295	0.0374479	0.0327797	0.024728	0.025643	0.0218503	0.0258275	0.0210576	0.0212464	0.0224159	0.0317428	0.0230366	0.020366	0.0281193	0.0280697	0.0235815	0.0217946	0.0286494	0.0245716	0.0288109	0.0290354	0.0290854	0.0295468	0.0260838	0.0198453	0.0289683	0.0260128	0.0256635	0.0246609	0.0265431	0.02627222	0.1637785	0.156084	0.188715	0.132969	0.195871	0.144119	0.182242	0.00748908	0.264774	0.237078	0.227883	0.270265	-3.639243	28.37162	0.04653123
1450	-20249.75	-20316.21	66.45763	0.0241605	0.0272591	0.0290267	0.0315967	0.0267085	0.0257283	0.0287153	0.020751	0.0232205	0.0291858	0.0268359	0.0309899	0.020452	0.0211171	0.0243352	0.0223215	0.0225899	0.0240699	0.0356469	0.0231712	0.0287269	0.0270147	0.0264591	0.0363365	0.0290318	0.0210983	0.0237483	0.0271486	0.0262624	0.0295425	0.0315741	0.0404891	0.0270793	0.0287243	0.0275338	0.0216098	0.0230328	0.0290372	0.02680731	0.1655788	0.170305	0.175877	0.149508	0.201835	0.148507	0.153968	0.00239124	0.265768	0.237996	0.224924	0.271312	-3.619081	28.50278	0.08524579
1500	-20244.54	-20326.91	82.36442	0.0268306	0.0256252	0.0300309	0.0282983	0.0315509	0.0259251	0.0279265	0.0294259	0.0268368	0.0282979	0.0314058	0.0275642	0.0244093	0.0270892	0.0267775	0.0263352	0.0224908	0.0271342	0.0274798	0.0298537	0.0323831	0.0264917	0.0231224	0.0306378	0.0241472	0.0276516	0.025273	0.0317877	0.02651	0.0271283	0.025063	0.0357645	0.0248247	0.0277364	0.0254492	0.0244204	0.0276846	0.0296776	0.02739297	0.09031322	0.179615	0.161434	0.151662	0.194773	0.156329	0.156187	0.03472528	0.264087	0.224599	0.241718	0.269596	-3.597469	26.40264	0.05752577
1550	-20247.89	-20324.06	76.16615	0.0237146	0.0263961	0.0272016	0.03247	0.0295698	0.0261515	0.0282095	0.0246667	0.0286579	0.0335873	0.0358474	0.0295915	0.027993	0.0284775	0.0263748	0.0245809	0.0280788	0.0341365	0.0297069	0.0262192	0.0296314	0.0341185	0.0278535	0.027081	0.0258062	0.0297928	0.0248193	0.0308152	0.0354967	0.0301289	0.0303604	0.0298772	0.0346943	0.0342485	0.0324543	0.0257572	0.026839	0.0281656	0.02853712	0.1360352	0.181492	0.160628	0.139562	0.210196	0.155548	0.152574	0.01733936	0.266327	0.226505	0.225789	0.281379	-3.55655	27.13271	0.06358787
1600	-20253.28	-20309.71	56.42387	0.0233008	0.0312078	0.0305901	0.0336586	0.0288845	0.0247172	0.029152	0.023099	0.0247383	0.0351097	0.0267051	0.0229617	0.025518	0.0225264	0.0248386	0.0252561	0.0280482	0.0300208	0.0353514	0.0285953	0.0280274	0.0307019	0.022299	0.0246835	0.0298241	0.0340754	0.0240892	0.0283263	0.0238594	0.021768	0.0519749	0.0323935	0.0248355	0.0401563	0.0382206	0.0268438	0.0244131	0.0304391	0.02990005	0.2437307	0.17328	0.180751	0.135893	0.19639	0.15146	0.162225	0.007664299	0.268265	0.232097	0.231277	0.268362	-3.509895	26.67653	0.07172645
1650	-20252.61	-20311.33	58.72223	0.0235458	0.0204785	0.0229164	0.0336161	0.029913	0.0270319	0.025163	0.0230647	0.0255427	0.0305086	0.0262593	0.0186438	0.0307619	0.0237339	0.0242137	0.0256524	0.0207748	0.0280328	0.0271124	0.0233472	0.0244687	0.0335744	0.033095	0.0331889	0.0260373	0.0251328	0.0244521	0.0336495	0.0355906	0.0221031	0.0297886	0.0377097	0.0327416	0.0314639	0.023039	0.0300709	0.0198711	0.0206307	0.02496294	0.2114934	0.166298	0.177267	0.152276	0.202688	0.142021	0.15945	0.004202209	0.266428	0.232174	0.228861	0.272537	-3.690363	27.46316	0.03831095
1700	-20270.08	-20314.83	44.75137	0.0196259	0.0233078	0.0317026	0.0367122	0.0302348	0.0251589	0.024067	0.0274612	0.0267819	0.0419471	0.0349208	0.0240911	0.0300268	0.0228297	0.0309847	0.0226641	0.0226711	0.0337936	0.0370491	0.0261113	0.0417281	0.023801	0.016853	0.0299198	0.0211221	0.0255876	0.0164941	0.0205278	0.0208391	0.020774	0.0312915	0.0409076	0.020219	0.0296822	0.0442133	0.0316874	0.0226138	0.0397038	0.02470749	0.2770796	0.163673	0.183235	0.149873	0.202562	0.143723	0.156934	0.02200561	0.269931	0.235226	0.221612	0.27323	-3.700649	25.88941	0.06705484
1750	-20274.19	-20322.09	47.90148	0.0189481	0.0305627	0.0423842	0.0312908	0.0248858	0.0215127	0.0230624	0.0176154	0.0229783	0.0339445	0.0297447	0.0321463	0.0422083	0.0260888	0.0230134	0.0209609	0.0204105	0.0234285	0.0345931	0.0232728	0.0303587	0.0205589	0.0258017	0.0346352	0.0233663	0.0297541	0.0205997	0.0234327	0.0342852	0.024057	0.039894	0.0342565	0.0190922	0.0319328	0.0436352	0.019582	0.0261852	0.0352095	0.02868364	0.2808897	0.164368	0.184013	0.140707	0.199553	0.144333	0.167025	0.00793499	0.274722	0.239134	0.229522	0.256622	-3.551429	26.49743	0.07506022
1800	-20259.91	-20318.96	59.04387	0.0235693	0.0202206	0.030199	0.038022	0.0307663	0.0309197	0.0329896	0.0234191	0.0323033	0.0322245	0.035894	0.0285774	0.0329426	0.0219665	0.026469	0.0260112	0.0213286	0.0224729	0.0230555	0.0265025	0.027729	0.0308157	0.0299041	0.0189802	0.0208347	0.0250318	0.0232977	0.0340304	0.0260022	0.0271733	0.0362797	0.0311613	0.0240798	0.0391576	0.0238904	0.022593	0.028432	0.0224012	0.02685666	0.1782283	0.169495	0.166038	0.145096	0.205777	0.148835	0.16476	0.0327499	0.275532	0.226515	0.227498	0.270456	-3.617242	28.0524	0.06939918
1850	-20253.95	-20321.04	67.08738	0.0240672	0.0271036	0.0307825	0.0321135	0.0321721	0.0262517	0.0332427	0.0223875	0.0309707	0.027176	0.0292097	0.0299471	0.0317541	0.0258932	0.0252535	0.0226786	0.0244261	0.029057	0.0324295	0.0224474	0.0310416	0.0356664	0.0277498	0.0311089	0.0263161	0.0233141	0.0291048	0.0350712	0.0289742	0.0238138	0.0297051	0.0275192	0.0321166	0.0223361	0.026918	0.0257987	0.0183474	0.0237104	0.02812318	0.1629742	0.171895	0.17542	0.142667	0.199811	0.143115	0.167093	0.02237841	0.265335	0.23058	0.234149	0.269936	-3.571161	27.73266	0.05430877
1900	-20260.65	-20317.43	56.78414	0.0248215	0.0339233	0.0318295	0.0355805	0.0409234	0.024105	0.0303472	0.0215737	0.0268141	0.0346475	0.0312078	0.02307	0.0279146	0.0176518	0.0238896	0.0289609	0.0234295	0.0233711	0.0217918	0.024695	0.0327097	0.0427659	0.0357332	0.0214407	0.0348821	0.0255603	0.0272914	0.0309119	0.0314416	0.0297411	0.0240391	0.0293535	0.0248831	0.0217328	0.0263536	0.0245625	0.0247461	0.0241691	0.02616966	0.2223614	0.163565	0.179567	0.146039	0.204535	0.146498	0.159797	0.01913356	0.2686	0.233417	0.23703	0.260953	-3.643154	28.19369	0.05896811
