Iteration	Posterior	Likelihood	Prior	branch_rates	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	freq[1]	freq[2]	freq[3]	freq[4]	root_age	speciation_rate
0	-26448.64	-26345.74	-102.8974	0.04278753	0.142154	0.166461	0.0354411	0.404063	0.0457736	0.206107	0.1243969	0.332963	0.444815	0.216321	0.00590123	29.4638	0.03920499
50	-20376.53	-20289.66	-86.8763	0.04278753	0.158472	0.147475	0.17057	0.154414	0.18351	0.185559	0.04527709	0.254788	0.246335	0.249075	0.249801	18.17319	0.1189855
100	-20376.53	-20288.18	-88.34599	0.04278753	0.158135	0.162771	0.173265	0.15126	0.19064	0.16393	0.06524477	0.249939	0.241646	0.263368	0.245047	17.88575	0.1494312
150	-20379.47	-20290.11	-89.36064	0.04278753	0.16048	0.14809	0.175835	0.153503	0.187512	0.174578	0.06808183	0.251242	0.251637	0.262615	0.234506	16.74815	0.1375498
200	-20372.28	-20285.56	-86.72426	0.04278753	0.161013	0.147008	0.175091	0.152381	0.190053	0.174454	0.02072414	0.252928	0.252556	0.256939	0.237576	17.44967	0.1364448
250	-20374.4	-20287.83	-86.57286	0.04278753	0.159909	0.148467	0.153677	0.163165	0.198597	0.176185	0.01707785	0.273648	0.233159	0.256252	0.236941	17.26784	0.08743244
300	-20374.79	-20288.47	-86.32793	0.04278753	0.162158	0.148676	0.15706	0.161492	0.191181	0.179432	0.009952958	0.263622	0.23637	0.259781	0.240226	16.97989	0.1164738
350	-20376.74	-20290.34	-86.39229	0.04278753	0.163946	0.156262	0.151121	0.15397	0.184158	0.190543	0.01659285	0.260235	0.249299	0.244761	0.245705	17.32593	0.09418733
400	-20381.04	-20293.79	-87.25595	0.04278753	0.146935	0.16362	0.170268	0.157044	0.178714	0.18342	0.02377833	0.256321	0.242857	0.249929	0.250893	16.80106	0.1434859
450	-20377.24	-20290.51	-86.72534	0.04278753	0.158081	0.15988	0.166769	0.155861	0.177369	0.182039	0.005086635	0.251557	0.243708	0.252963	0.251773	17.67401	0.06650173
500	-20378.79	-20292.7	-86.09044	0.04278753	0.16034	0.162165	0.170245	0.158088	0.179903	0.169259	0.004327414	0.249983	0.242183	0.257637	0.250197	17.99037	0.1209563
550	-20380.86	-20293.03	-87.83045	0.04278753	0.163378	0.152234	0.152058	0.176552	0.183312	0.172466	0.0431315	0.25626	0.242768	0.244493	0.25648	17.68865	0.1487208
600	-20383.81	-20298.03	-85.78367	0.04278753	0.154738	0.151375	0.155151	0.181026	0.187957	0.169753	0.01535891	0.262246	0.24215	0.250205	0.245399	18.29302	0.1254478
650	-20369.47	-20283.63	-85.83435	0.04278753	0.162826	0.153754	0.16326	0.160557	0.191303	0.1683	0.005054922	0.261203	0.229743	0.25613	0.252923	17.28366	0.1010126
700	-20377.91	-20292.01	-85.9016	0.04278753	0.174884	0.155332	0.164935	0.162204	0.183023	0.159622	0.000295181	0.265317	0.226959	0.261696	0.246029	16.58726	0.1097491
750	-20376.76	-20290.99	-85.77127	0.04278753	0.165806	0.138454	0.159548	0.171793	0.191219	0.17318	0.0001458363	0.258744	0.25187	0.252243	0.237142	17.42344	0.1218768
800	-20375.51	-20289.46	-86.05622	0.04278753	0.155787	0.147817	0.159443	0.169736	0.192035	0.175182	4.750284e-05	0.263751	0.241346	0.253369	0.241534	16.67943	0.09498016
850	-20372.7	-20287.5	-85.19941	0.04278753	0.159056	0.143223	0.168061	0.163643	0.196282	0.169735	2.465287e-06	0.252903	0.244902	0.257102	0.245093	17.9611	0.1215448
900	-20371.54	-20285.98	-85.56407	0.04278753	0.156375	0.157785	0.164566	0.160239	0.181145	0.17989	4.235659e-05	0.268578	0.24477	0.241282	0.245369	17.10936	0.1160055
950	-20374.42	-20286.69	-87.72569	0.04278753	0.168647	0.155406	0.154609	0.164609	0.201156	0.155573	1.280533e-05	0.257883	0.235023	0.251966	0.255128	17.21877	0.1534054
1000	-20372.5	-20286.43	-86.07253	0.04278753	0.165471	0.158808	0.159643	0.164182	0.188405	0.163491	0.0001045933	0.24796	0.248169	0.254534	0.249337	17.27182	0.1241685
1050	-20370.69	-20284.08	-86.60792	0.04278753	0.16413	0.165243	0.169338	0.154608	0.177825	0.168856	0.0001220056	0.251567	0.250564	0.244906	0.252963	17.4649	0.1436307
1100	-20377.26	-20291.26	-86.00571	0.04278753	0.172889	0.155699	0.163083	0.177448	0.171257	0.159625	0.009970035	0.253895	0.231109	0.258709	0.256288	17.3571	0.09246706
1150	-20375.96	-20289.57	-86.38697	0.04278753	0.16964	0.157484	0.167293	0.170907	0.173221	0.161455	0.003245463	0.254472	0.23653	0.246053	0.262945	17.42583	0.1261823
1200	-20383.86	-20295.34	-88.52019	0.04278753	0.153176	0.174756	0.157719	0.176199	0.175019	0.163132	0.05739083	0.251354	0.245885	0.243038	0.259723	17.30383	0.1197813
1250	-20374.59	-20288.79	-85.8046	0.04278753	0.168804	0.153535	0.151393	0.174293	0.194777	0.157199	0.01466138	0.25747	0.227778	0.248952	0.265801	17.74805	0.1002584
1300	-20376.43	-20288.13	-88.29863	0.04278753	0.165824	0.16331	0.14872	0.170628	0.191339	0.160178	0.04121281	0.258808	0.227447	0.259904	0.25384	17.21686	0.09325705
1350	-20375.27	-20289.1	-86.17293	0.04278753	0.152814	0.148425	0.15708	0.174977	0.202443	0.16426	0.002138848	0.252539	0.246624	0.249804	0.251032	16.72182	0.1132166
