Iteration	Posterior	Likelihood	Prior	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	branch_rates_sd	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	freq[1]	freq[2]	freq[3]	freq[4]	ln_branch_rates_mean	root_age	speciation_rate
500	-20016.73	-20278.52	261.7837	0.0782097	0.0782272	0.0782408	0.0781942	0.0781833	0.0782258	0.078213	0.0781874	0.0782165	0.0781829	0.0781976	0.0782055	0.0782024	0.0782026	0.0782083	0.0782103	0.0782749	0.0782343	0.0781942	0.0781936	0.0781771	0.0781613	0.0782236	0.0781861	0.0782141	0.078161	0.0782116	0.0781962	0.0781978	0.0782364	0.0781923	0.0781901	0.0781921	0.0782144	0.0781947	0.0782322	0.0781702	0.0781995	0.07821109	0.0003398485	0.173717	0.173611	0.158269	0.156998	0.157989	0.179416	0.0003400903	0.242259	0.254664	0.252686	0.250391	-2.548344	9.306013	0.179886
550	-20005.27	-20266.57	261.295	0.0782097	0.0782272	0.0782408	0.0781942	0.0781833	0.0782258	0.078213	0.0781874	0.0781788	0.0781829	0.0781976	0.0782055	0.0782024	0.0782026	0.0782083	0.0782103	0.0782749	0.0782343	0.0781942	0.0781936	0.0781771	0.0781596	0.0782236	0.0781861	0.0782141	0.0782464	0.0782116	0.0781962	0.0781952	0.0782364	0.0781923	0.0781901	0.0781921	0.0782144	0.0781947	0.0782322	0.0781702	0.0781995	0.07821109	0.0003035299	0.177079	0.161507	0.163606	0.162292	0.160305	0.17521	0.0004915794	0.248963	0.245129	0.248587	0.257321	-2.548344	9.088217	0.1908229
600	-20009.76	-20273.89	264.1236	0.0782097	0.0782272	0.0782408	0.0781942	0.0781833	0.0782258	0.078213	0.0781874	0.0781788	0.0782019	0.0781976	0.0782055	0.0782024	0.0782026	0.0782083	0.0782215	0.0782749	0.0782343	0.0781942	0.0781936	0.0781771	0.0782128	0.0782236	0.0781861	0.0782141	0.0782464	0.0782116	0.0781962	0.0781952	0.0782364	0.0781923	0.0781901	0.0781921	0.0782144	0.0781947	0.0782369	0.0781702	0.0781995	0.07821109	0.0002478798	0.182691	0.156242	0.149722	0.167875	0.16309	0.18038	0.0001720315	0.249851	0.243893	0.247333	0.258922	-2.548344	9.041073	0.2150382
650	-20002.53	-20269.91	267.3819	0.0782097	0.0782132	0.0782408	0.0781942	0.0781833	0.0782258	0.078213	0.0781874	0.0781788	0.0781804	0.0781976	0.0782055	0.0782024	0.0782026	0.0782083	0.0782215	0.0781867	0.0782343	0.0781942	0.0781936	0.0781771	0.0782128	0.0782236	0.0781861	0.0782141	0.0782464	0.0782116	0.0781962	0.0781952	0.0782364	0.0781923	0.0781901	0.0781921	0.0782144	0.0781947	0.0782369	0.0781702	0.0781995	0.07821109	0.0002772353	0.184795	0.161545	0.16342	0.158643	0.171111	0.160486	0.003138708	0.248725	0.249271	0.252787	0.249217	-2.548344	9.573121	0.1193162
700	-20001.53	-20267.94	266.4101	0.0782097	0.0782132	0.0782408	0.0781942	0.0781833	0.0782258	0.078213	0.0781874	0.0782135	0.0781804	0.0781976	0.0782055	0.0782181	0.0782097	0.0782083	0.0782215	0.0781867	0.0782343	0.0781942	0.0781936	0.0782442	0.0782128	0.0782236	0.0781861	0.0782141	0.0782464	0.0782116	0.0781962	0.0781952	0.0782113	0.0781923	0.0781901	0.0781921	0.0782144	0.0781947	0.0782369	0.0781702	0.0781995	0.07821109	0.0002873126	0.173311	0.169082	0.156666	0.152086	0.160525	0.18833	0.00521623	0.248322	0.248943	0.253155	0.24958	-2.548344	9.409525	0.3078514
750	-20000.98	-20268.86	267.8838	0.0782097	0.0782132	0.0782408	0.0781942	0.0781833	0.0782258	0.078213	0.0781874	0.0782135	0.0781814	0.0781976	0.0782055	0.0782181	0.0782349	0.0782083	0.0782215	0.0781867	0.0782343	0.0781942	0.0781936	0.0782442	0.0782128	0.0782236	0.0781861	0.0782141	0.0782464	0.0782116	0.0781962	0.0781952	0.0782113	0.0781923	0.0781901	0.0781921	0.0782144	0.0781782	0.0782369	0.0781702	0.0781995	0.07821109	0.0002768583	0.172678	0.171879	0.168625	0.157848	0.150488	0.178481	0.001896554	0.233566	0.26892	0.244877	0.252638	-2.548344	9.03145	0.2105096
800	-20008.29	-20277.05	268.7591	0.0782097	0.0782132	0.0782408	0.0781942	0.0782078	0.0782258	0.078213	0.0781874	0.0782135	0.0781846	0.0781976	0.0782055	0.0782181	0.0782349	0.0782083	0.0782215	0.0781867	0.0782343	0.0781942	0.0781936	0.0782442	0.0782128	0.0782236	0.0781861	0.0782141	0.0782691	0.0782116	0.0781962	0.0781952	0.0782263	0.0781782	0.0781901	0.0781921	0.0782144	0.0781782	0.0782369	0.0782063	0.0781995	0.07821109	0.0002676211	0.168701	0.189632	0.167581	0.170813	0.133822	0.16945	0.007513139	0.242517	0.264645	0.233867	0.258971	-2.548344	9.67549	0.158675
850	-19999.05	-20268.19	269.1419	0.0782097	0.0782132	0.0782408	0.0781942	0.078169	0.0782258	0.078213	0.0781874	0.0782135	0.0781846	0.0781976	0.0782055	0.0782181	0.0782349	0.0782083	0.0782215	0.0781867	0.0782343	0.0781942	0.0781936	0.0782442	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0781952	0.0782263	0.0781782	0.0781892	0.0781921	0.0782144	0.0781782	0.0782369	0.0782063	0.0781995	0.07821109	0.0002180124	0.176615	0.163987	0.165237	0.173938	0.148314	0.171908	0.007460137	0.248396	0.246968	0.237558	0.267078	-2.548344	9.324821	0.1589422
900	-20008.52	-20278.38	269.856	0.0782097	0.0782132	0.0782346	0.0781942	0.078169	0.0782258	0.078213	0.0781874	0.0782135	0.0781846	0.0781976	0.0782055	0.0782181	0.0782349	0.0782083	0.0782215	0.0781867	0.0782343	0.0781942	0.0781936	0.0782442	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0781952	0.0782263	0.0781782	0.0781892	0.0781921	0.0782144	0.0781782	0.0782369	0.0782063	0.0781995	0.07821109	0.0002216871	0.173126	0.187084	0.141282	0.17366	0.14642	0.178428	0.01340168	0.234046	0.251683	0.242094	0.272178	-2.548344	9.175517	0.1871639
950	-20005.79	-20269.07	263.2741	0.0782097	0.0782132	0.0782036	0.0781452	0.078169	0.0782258	0.0782109	0.0781874	0.0782135	0.0781846	0.0781976	0.0782055	0.0782181	0.0782349	0.0782083	0.0781837	0.0781867	0.0782343	0.0781942	0.0781936	0.0782442	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0781952	0.0782263	0.0781782	0.0781892	0.0781921	0.0782144	0.0781782	0.0782369	0.0782063	0.0781995	0.07821109	0.0002921603	0.187359	0.158401	0.148616	0.177189	0.152476	0.175959	0.03181009	0.250666	0.245708	0.243152	0.260474	-2.548344	8.98419	0.2499599
1000	-20008.73	-20269.54	260.8034	0.0782097	0.0782132	0.0782036	0.0781452	0.078169	0.0782258	0.0782225	0.0781874	0.0782135	0.0781846	0.0781976	0.0782055	0.0782181	0.0782349	0.0781702	0.0781837	0.0781867	0.0782343	0.0781942	0.0781936	0.0782442	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0781952	0.0782263	0.0781782	0.0781892	0.0781921	0.0782144	0.0781782	0.0782369	0.0782063	0.0781995	0.07821109	0.0003122673	0.180898	0.158481	0.149471	0.177636	0.163623	0.169892	0.009220098	0.25091	0.245948	0.243389	0.259753	-2.548344	9.082853	0.1130774
1050	-19999.21	-20265.5	266.2909	0.0782097	0.0782132	0.0782036	0.0781452	0.0782031	0.0782258	0.0782225	0.0781874	0.0782135	0.0781846	0.0781976	0.0782055	0.0782181	0.0782349	0.0781702	0.0781837	0.0781867	0.0782343	0.0781942	0.0781936	0.0782442	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0781952	0.0782263	0.0781782	0.0781892	0.0781921	0.0782144	0.0781782	0.0782369	0.0782063	0.0782055	0.07820549	0.0002684826	0.173061	0.155726	0.163583	0.15637	0.174958	0.176302	0.03146062	0.257005	0.239834	0.257087	0.246074	-2.548415	9.386236	0.1760342
1100	-19996.93	-20267.04	270.1051	0.0781768	0.0782132	0.0782036	0.0782075	0.0782031	0.0782258	0.0782225	0.0781874	0.0782135	0.0781846	0.0781976	0.0782055	0.0782181	0.0782349	0.0782356	0.0781837	0.0781867	0.0782343	0.0781942	0.0781936	0.0782445	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0781952	0.0782263	0.0781782	0.078228	0.0781921	0.0782144	0.0781782	0.0782369	0.0782063	0.0782055	0.07820549	0.0002447957	0.187675	0.149466	0.157007	0.168776	0.167862	0.169215	0.025691	0.249017	0.236841	0.260773	0.253368	-2.548415	9.444953	0.1748786
1150	-20005.67	-20274.25	268.5817	0.0781768	0.0782132	0.0782036	0.0782075	0.0782031	0.0782258	0.0782225	0.0781874	0.0782343	0.0781846	0.0781976	0.0782055	0.0782181	0.0782167	0.0782356	0.0782182	0.0781867	0.0782343	0.0781942	0.0781936	0.0782445	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0781952	0.0782263	0.0781782	0.078228	0.0781921	0.0782144	0.0781782	0.0782541	0.0782063	0.0782055	0.07820549	0.0002840047	0.185547	0.151772	0.160709	0.166862	0.167813	0.167296	0.004067978	0.236086	0.249114	0.257461	0.257339	-2.548415	9.292303	0.1913711
1200	-20001.81	-20269.36	267.556	0.0781768	0.0782132	0.0782036	0.0782075	0.0782031	0.0782258	0.0782225	0.0781874	0.0782343	0.0781698	0.0781976	0.0782055	0.0781862	0.0782167	0.0782356	0.0782182	0.0781867	0.0782343	0.0781942	0.0781936	0.0782445	0.0782128	0.0782236	0.0781861	0.0782141	0.0782313	0.0782116	0.0781962	0.0781952	0.0782263	0.0781782	0.078228	0.0781921	0.0782144	0.0781782	0.0782541	0.0782063	0.0782055	0.07820549	0.0002806384	0.182338	0.160868	0.14746	0.164325	0.171824	0.173185	0.01986621	0.255253	0.240652	0.257815	0.24628	-2.548415	9.574358	0.1608225
