Iteration	Posterior	Likelihood	Prior	branch_rates	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	freq[1]	freq[2]	freq[3]	freq[4]	root_age	speciation_rate
0	-31862.12	-31769.25	-92.86952	0.09734747	0.0945416	0.453184	0.0191396	0.281839	0.149269	0.00202716	0.1973179	0.0014721	0.212756	0.152163	0.633609	29.4638	0.1383051
50	-20427.22	-20331.72	-95.50345	0.09734747	0.14417	0.206746	0.150955	0.187877	0.120188	0.190063	0.1558933	0.236832	0.274828	0.19112	0.297219	7.094496	0.2742489
100	-20372.55	-20276.61	-95.9428	0.09734747	0.187088	0.169622	0.145258	0.185992	0.13345	0.17859	0.1661379	0.247781	0.237823	0.239428	0.274968	7.361895	0.3568756
150	-20363.56	-20268.81	-94.74684	0.09734747	0.173776	0.171252	0.150685	0.180073	0.166838	0.157375	0.09919055	0.249156	0.24005	0.240757	0.270036	7.179105	0.3406865
200	-20365.95	-20272.58	-93.36913	0.09734747	0.186011	0.161744	0.1512	0.183838	0.159293	0.157914	0.09245731	0.252096	0.232349	0.2427	0.272856	7.506593	0.2146547
250	-20363.01	-20269.4	-93.61296	0.09734747	0.175045	0.171882	0.160394	0.16714	0.143984	0.181556	0.02244949	0.247782	0.253659	0.236001	0.262558	7.41708	0.3411563
300	-20357.89	-20265.5	-92.39305	0.09734747	0.172678	0.155406	0.14741	0.178754	0.166651	0.179101	0.04555875	0.25804	0.242645	0.236359	0.262956	7.316967	0.1881139
350	-20362.81	-20271.36	-91.45064	0.09734747	0.181546	0.157055	0.148962	0.174607	0.156828	0.181002	0.03937998	0.252104	0.241936	0.239594	0.266367	7.530676	0.2425303
400	-20363.5	-20271.69	-91.80838	0.09734747	0.168919	0.156928	0.14859	0.172272	0.172436	0.180855	0.009607752	0.2516	0.242523	0.251252	0.254625	7.396293	0.2682232
450	-20364.08	-20271.65	-92.43063	0.09734747	0.172376	0.165507	0.150008	0.151588	0.175964	0.184556	0.06979798	0.247634	0.258561	0.246203	0.247602	7.545922	0.2362683
500	-20366.75	-20274.41	-92.33636	0.09734747	0.155614	0.172618	0.1736	0.159748	0.153672	0.184748	0.03873094	0.245487	0.262975	0.247688	0.243851	7.095949	0.2918365
550	-20361.57	-20269.98	-91.58945	0.09734747	0.184389	0.163849	0.156058	0.152951	0.165865	0.176887	0.0461448	0.249141	0.251681	0.248319	0.250858	7.740268	0.2779833
600	-20360.6	-20270.5	-90.10035	0.09734747	0.183536	0.16306	0.155932	0.167423	0.167001	0.163047	0.01731539	0.234914	0.25456	0.250085	0.260442	7.872467	0.2045309
650	-20361.49	-20270.43	-91.06557	0.09734747	0.174974	0.156747	0.167091	0.166923	0.166277	0.167988	0.02207608	0.246598	0.241466	0.254821	0.257115	7.638133	0.2239367
700	-20357.22	-20265.86	-91.35628	0.09734747	0.171645	0.174161	0.154363	0.161697	0.16459	0.173543	0.009635867	0.251336	0.253864	0.24164	0.25316	7.516245	0.1660135
750	-20359.47	-20267.46	-92.01038	0.09734747	0.174182	0.158168	0.154755	0.17315	0.163638	0.176108	0.04970728	0.253125	0.251052	0.242546	0.253278	7.378763	0.2354296
800	-20360.72	-20268.46	-92.2553	0.09734747	0.175048	0.171607	0.155304	0.174698	0.14566	0.177683	0.01133048	0.243102	0.258186	0.240369	0.258343	7.154482	0.1538488
850	-20362.57	-20268.93	-93.63862	0.09734747	0.184385	0.170899	0.154663	0.156374	0.156729	0.17695	0.04548688	0.247964	0.25102	0.245177	0.25584	7.269855	0.1514071
900	-20362.92	-20270.54	-92.3805	0.09734747	0.182132	0.172527	0.147489	0.16243	0.162799	0.172622	0.03597034	0.253255	0.259128	0.238334	0.249282	7.219594	0.2598567
950	-20363.03	-20270.72	-92.31163	0.09734747	0.174651	0.165442	0.152412	0.174888	0.156113	0.176493	0.06348924	0.247213	0.25174	0.236668	0.26438	7.493757	0.2613048
1000	-20375.47	-20281.02	-94.45407	0.09734747	0.155243	0.170949	0.157486	0.18747	0.152921	0.175931	0.136747	0.249498	0.24732	0.242479	0.260704	8.131693	0.2155265
1050	-20363.8	-20272.05	-91.74497	0.09734747	0.172928	0.163701	0.164013	0.166549	0.155055	0.177754	0.01640473	0.24618	0.239975	0.263585	0.25026	7.705358	0.1518624
1100	-20356.1	-20263.81	-92.28637	0.09734747	0.174166	0.15995	0.162069	0.164527	0.16364	0.175648	0.02123472	0.247491	0.249051	0.25721	0.246248	7.178151	0.2830416
1150	-20358.05	-20266.24	-91.81877	0.09734747	0.174297	0.16022	0.161755	0.164986	0.157989	0.180753	0.04337018	0.250562	0.246494	0.25364	0.249303	7.439658	0.236053
1200	-20374.91	-20280.28	-94.63586	0.09734747	0.174111	0.164986	0.173625	0.167733	0.160619	0.158926	0.1168005	0.240817	0.239484	0.271119	0.24858	7.324909	0.3081188
1250	-20367.32	-20274.09	-93.22924	0.09734747	0.177508	0.146035	0.169863	0.168928	0.169728	0.167939	0.04484731	0.250662	0.249275	0.24132	0.258743	7.467658	0.3322977
1300	-20363.94	-20272.75	-91.18313	0.09734747	0.173089	0.16241	0.156187	0.160486	0.168647	0.179182	0.03701761	0.244414	0.250733	0.257907	0.246946	7.541274	0.2581414
1350	-20366.31	-20274.41	-91.89307	0.09734747	0.166245	0.151258	0.161941	0.163074	0.17744	0.180041	0.04563947	0.257317	0.246452	0.253503	0.242729	7.542709	0.2527919
1400	-20360.44	-20268.99	-91.45281	0.09734747	0.184102	0.147524	0.160538	0.157898	0.177894	0.172044	0.03698584	0.24265	0.251773	0.26566	0.239918	7.605126	0.2343282
1450	-20371.41	-20278.21	-93.19848	0.09734747	0.176596	0.148881	0.162015	0.15935	0.17953	0.173626	0.001039189	0.249195	0.238723	0.265692	0.24639	7.899136	0.3556244
1500	-20363.4	-20269.11	-94.29716	0.09734747	0.1759	0.16435	0.159126	0.156508	0.176328	0.167788	0.1286881	0.24911	0.236257	0.262685	0.251948	7.535123	0.2510949
1550	-20356.32	-20263.55	-92.76513	0.09734747	0.178059	0.166367	0.161079	0.151945	0.165416	0.177134	0.05477894	0.248664	0.254139	0.247037	0.25016	7.421346	0.1797932
1600	-20365.44	-20271.41	-94.02738	0.09734747	0.161129	0.167454	0.164695	0.150837	0.171856	0.18403	0.1041621	0.246492	0.251919	0.250752	0.250837	7.178481	0.2727902
1650	-20359.75	-20266.76	-92.98246	0.09734747	0.162803	0.159201	0.166407	0.152404	0.173642	0.185543	0.05654093	0.246095	0.254476	0.253198	0.246231	7.357999	0.2916586
1700	-20364.55	-20272.67	-91.87426	0.09734747	0.174578	0.153714	0.164753	0.160148	0.167658	0.179149	0.05912263	0.242912	0.258132	0.256835	0.242121	7.644933	0.227576
1750	-20367.78	-20274.48	-93.29562	0.09734747	0.171472	0.162075	0.161424	0.168549	0.153059	0.183421	0.07870917	0.258509	0.248383	0.241978	0.251131	7.227375	0.2589007
